"Informazioni cronologiche","Utile","Intuitiva","Chiara","Informativa","Bella","Valore complessivo","Lascia un feedback"
"2019/06/05 5:39:03 PM EET","5","6","5","5","6","5",""
"2019/06/05 6:29:41 PM EET","5","5","6","6","5","6",""
"2019/06/05 8:31:42 PM EET","5","5","4","4","6","5",""
"2019/06/05 9:41:47 PM EET","5","6","5","6","6","6",""
"2019/06/06 11:13:49 AM EET","5","5","5","5","6","5",""
"2019/06/06 1:48:55 PM EET","5","5","4","5","6","5",""
"2019/06/06 6:58:20 PM EET","4","4","5","6","6","5",""
"2019/06/06 8:29:23 PM EET","4","6","5","5","5","6",""
"2019/06/07 2:41:13 PM EET","5","4","4","4","4","4",""
"2019/06/09 11:21:26 AM EET","4","5","4","5","4","4",""
"2019/06/09 11:38:49 AM EET","3","5","5","6","6","5",""
"2019/06/09 7:27:40 PM EET","4","3","5","5","5","5",""
"2019/06/09 7:33:15 PM EET","5","4","3","5","3","4",""
"2019/06/10 3:14:42 PM EET","4","6","3","3","3","5",""
"2019/06/10 5:48:05 PM EET","4","5","4","5","5","5",""
"2019/06/10 6:16:56 PM EET","4","5","5","4","5","5",""
"2019/06/10 6:40:56 PM EET","5","4","5","4","6","5",""
"2019/06/10 8:25:13 PM EET","4","5","5","4","6","4",""
"2019/06/10 10:19:54 PM EET","4","5","6","4","3","5",""
"2019/06/10 11:57:05 PM EET","4","6","5","4","3","4",""
"2019/06/11 10:22:15 AM EET","4","5","5","5","3","4",""
"2019/06/11 10:22:51 AM EET","4","5","5","2","2","3",""
"2019/06/11 10:41:34 AM EET","4","5","6","6","3","5",""
"2019/06/11 10:44:11 AM EET","3","5","5","4","3","4",""
